id,service_type,responsability
'01",project_id,
'02",actual_work,
'03",name,
'04",hc_start_res_paid,ADMINISTRATION
'05",hc_expiration,ADMINISTRATION
'06",hc_sent_to_usda,ADMINISTRATION
'07",hc_endorsed,
'08",billed_paid,CEO
'09",mac_shipment_id,OPERATIONS
'10",invoice_shipping_ccial_freigth_forward,OPERATIONS
'11",airline_reserve_guide,OPERATIONS
'12",awb_paid,
'13",stalls,OPERATIONS
'14",awb,OPERATIONS
'15",cert_origin,OPERATIONS
'16",tags_ship,
'17",animal_handler,ADMINISTRATION
'18",pending,
'19",stalls_2,
'20",stalls_set3,
'21",pending6,
'22",usda_res_72hrs_date,OPERATIONS
'23",usda_mac_sent_date,OPERATIONS
'24",custom_clarance,OPERATIONS
'25",pc_check_date,OPERATIONS
'26",import_permit,OPERATIONS
'27",import_permit_paid,OPERATIONS
'28",usda_res_72hrs,OPERATIONS
'29",field_17_29,OPERATIONS
'30",pc_check,OPERATIONS
'31",is_trading_template,
'32",estimate_departmenture_arrival,ADMINISTRATION
'33",realse_date_departure,OPERATIONS
'34",q_start_reserve,
'35",x_hc_ends,
'36",hc_end_res_paid,ADMINISTRATION
'37",shipping_list,OPERATIONS
'38",contingency_plan,OPERATIONS
'39",shipping_list_final_dest,OPERATIONS
'40",coord_shipping_list_drivers,OPERATIONS
'41",hc_origin,OPERATIONS
'42",import_permit_destinity_country,ADMINISTRATION
'43",jockey_club,ADMINISTRATION
'44",commercial_invoice,OPERATIONS
'45",commercial_invoice_and_awv_sent_to_c,OPERATIONS
'46",animal_handler_confirmed,ADMINISTRATION
'47",coordinar_wls,ADMINISTRATION
'48",coordinar_mac,ADMINISTRATION
'49",coordinar_conductor,ADMINISTRATION
